n,naive(ms),2way(ms)
64,0.000225,0.000164
128,0.00045,0.000304
192,0.000674,0.000447
256,0.00072,0.000462
320,0.000945,0.000882
384,0.001073,0.000843
448,0.00125,0.000981
512,0.001604,0.00093
576,0.001623,0.001018
640,0.001775,0.00114
704,0.001968,0.00126
768,0.002176,0.001382
832,0.002335,0.001486
896,0.002514,0.001594
960,0.002694,0.001699
1024,0.002857,0.001824
1088,0.003035,0.001926
1152,0.003215,0.002097
1216,0.003415,0.002149
1280,0.003636,0.002452
1344,0.004714,0.002787
1408,0.003951,0.002686
1472,0.004126,0.002602
1536,0.004273,0.002708
1600,0.004454,0.002812
1664,0.004616,0.002948
1728,0.004866,0.003065
1792,0.005029,0.003189
1856,0.005223,0.003294
1920,0.005461,0.003415
1984,0.005911,0.00387
2048,0.007171,0.004786
2112,0.005946,0.003718
2176,0.008861,0.006613
2240,0.00818,0.004174
2304,0.008145,0.006973
2368,0.006644,0.004235
2432,0.006864,0.004344
2496,0.007031,0.004433
2560,0.007183,0.004558
2624,0.007361,0.004676
2688,0.007594,0.00486
2752,0.007812,0.004942
2816,0.008089,0.005115
2880,0.008234,0.005175
2944,0.008565,0.005327
3008,0.00859,0.005435
3072,0.008771,0.005549
3136,0.009016,0.005736
3200,0.009247,0.005805
3264,0.009391,0.005938
3328,0.009576,0.006082
3392,0.009761,0.00615
3456,0.012488,0.006601
3520,0.012742,0.006513
3584,0.012819,0.00641
3648,0.010294,0.006497
3712,0.01637,0.007706
3776,0.010801,0.006794
3840,0.010992,0.006971
3904,0.011216,0.007025
3968,0.011353,0.007167
4032,0.011602,0.007289
4096,0.014413,0.007422
4160,0.011976,0.007556
4224,0.014356,0.008655
4288,0.014239,0.007906
4352,0.012522,0.007882
4416,0.012774,0.009283
4480,0.01432,0.008058
4544,0.015495,0.008247
4608,0.013259,0.008346
4672,0.01505,0.008791
4736,0.013813,0.0087
4800,0.013765,0.008695
4864,0.013909,0.008944
4928,0.016118,0.009081
4992,0.019442,0.008847
5056,0.019598,0.009038
5120,0.017179,0.010698
5184,0.020205,0.009211
5248,0.019105,0.010982
5312,0.017059,0.009456
5376,0.015204,0.009595
5440,0.015505,0.009782
5504,0.015959,0.009903
5568,0.015987,0.01011
5632,0.016286,0.01035
5696,0.017698,0.010339
5760,0.01658,0.010448
5824,0.018976,0.010729
5888,0.016893,0.010645
5952,0.017113,0.010738
6016,0.01737,0.011036
6080,0.017524,0.010984
6144,0.017701,0.011195
6208,0.021223,0.011274
6272,0.019753,0.01136
6336,0.020782,0.014186
6400,0.018354,0.01158
6464,0.018753,0.01169
6528,0.018772,0.01194
6592,0.019016,0.011919
6656,0.023179,0.014125
6720,0.024438,0.01235
6784,0.022392,0.017232
6848,0.023393,0.012232
6912,0.021079,0.012483
6976,0.022348,0.012699
7040,0.025684,0.012523
7104,0.020408,0.012811
7168,0.020608,0.012984
7232,0.025655,0.014558
7296,0.020882,0.013159
7360,0.021183,0.013385
7424,0.021549,0.013488
7488,0.022741,0.01463
7552,0.023201,0.013642
7616,0.021898,0.013786
7680,0.022227,0.014005
7744,0.022268,0.014182
7808,0.022624,0.014248
7872,0.022766,0.014332
7936,0.023139,0.014591
8000,0.025345,0.01448
8064,0.024804,0.014706
8128,0.023458,0.014684
8192,0.023651,0.014953
8256,0.024051,0.015033
8320,0.026865,0.015487
8384,0.024158,0.01521
8448,0.029309,0.019388
8512,0.024495,0.015361
8576,0.029546,0.015938
8640,0.024838,0.015734
8704,0.026817,0.015797
8768,0.025238,0.015923
8832,0.025656,0.016175
8896,0.025989,0.016373
8960,0.026172,0.01642
9024,0.026163,0.016491
9088,0.02664,0.016664
9152,0.02773,0.016599
9216,0.026668,0.016632
9280,0.029281,0.020085
9344,0.027062,0.016872
9408,0.027189,0.017186
9472,0.027447,0.017302
9536,0.027844,0.017411
9600,0.027911,0.017602
9664,0.029442,0.017522
9728,0.028368,0.021663
9792,0.028184,0.017669
9856,0.032902,0.018062
9920,0.029985,0.019012
9984,0.030041,0.017972
10048,0.028933,0.018305
10112,0.029293,0.018578
10176,0.029489,0.018582
10240,0.029786,0.018725
10304,0.032453,0.018655
10368,0.031436,0.018927
10432,0.030051,0.01887
10496,0.035868,0.019003
10560,0.032115,0.019121
10624,0.030633,0.019178
10688,0.034687,0.019404
10752,0.032685,0.019361
10816,0.031182,0.019529
10880,0.037346,0.019949
10944,0.031456,0.020175
11008,0.032262,0.020165
11072,0.033677,0.020188
11136,0.032003,0.020251
11200,0.034594,0.020339
11264,0.035131,0.020514
11328,0.032558,0.020513
11392,0.033538,0.020701
11456,0.034231,0.021014
11520,0.033112,0.020873
11584,0.03411,0.021219
11648,0.034875,0.021122
11712,0.033787,0.021313
11776,0.034225,0.021424
11840,0.034515,0.021715
11904,0.034627,0.02431
11968,0.035777,0.021716
12032,0.036575,0.021709
12096,0.034922,0.022096
12160,0.035161,0.022136
12224,0.038031,0.022386
12288,0.037543,0.022252
12352,0.035505,0.022666
12416,0.036127,0.022698
12480,0.037853,0.022718
12544,0.037834,0.022797
12608,0.036236,0.026714
12672,0.03854,0.022925
12736,0.038089,0.023313
12800,0.042527,0.023021
12864,0.036834,0.023222
12928,0.037281,0.023517
12992,0.040003,0.023513
13056,0.039343,0.023622
13120,0.037903,0.023957
13184,0.038114,0.023979
13248,0.040461,0.024003
13312,0.040909,0.024082
13376,0.03848,0.024293
13440,0.039019,0.024537
13504,0.039136,0.024542
13568,0.039557,0.024687
13632,0.045199,0.024693
13696,0.039492,0.024799
13760,0.039725,0.025081
13824,0.039979,0.025295
13888,0.041999,0.025133
13952,0.041666,0.02521
14016,0.040547,0.025378
14080,0.040705,0.025714
14144,0.041306,0.026028
14208,0.041367,0.026103
14272,0.042439,0.026042
14336,0.044599,0.025861
14400,0.0417,0.026275
14464,0.041814,0.0265
14528,0.042257,0.030629
14592,0.044017,0.026579
14656,0.042645,0.02694
14720,0.04382,0.026941
14784,0.048142,0.026682
14848,0.042977,0.027189
14912,0.043283,0.027366
14976,0.043578,0.027543
15040,0.043743,0.027859
15104,0.04398,0.027769
15168,0.044205,0.027843
15232,0.044279,0.027785
15296,0.046028,0.027728
15360,0.044534,0.028013
15424,0.044937,0.028399
15488,0.04511,0.028382
15552,0.045229,0.028686
15616,0.045444,0.028837
15680,0.045775,0.029777
15744,0.050423,0.028488
15808,0.045502,0.028814
15872,0.045978,0.028807
15936,0.047994,0.029071
16000,0.050351,0.029357
16064,0.048543,0.029369
16128,0.047921,0.029179
16192,0.048188,0.029237
16256,0.047013,0.029488
16320,0.047634,0.029643
16384,0.047808,0.030002
16448,0.047982,0.030069
16512,0.04816,0.030221
16576,0.048418,0.030452
16640,0.048441,0.030729
16704,0.048626,0.030635
16768,0.052116,0.031665
16832,0.049845,0.030691
16896,0.04906,0.030793
16960,0.049234,0.031151
17024,0.049717,0.031289
17088,0.049706,0.031443
17152,0.050044,0.031601
17216,0.050115,0.03164
17280,0.050429,0.031666
17344,0.050557,0.031947
17408,0.050768,0.031903
17472,0.050866,0.032015
17536,0.051069,0.032375
17600,0.051238,0.03234
17664,0.051427,0.032422
17728,0.051795,0.032423
17792,0.051882,0.032678
17856,0.052015,0.032685
17920,0.052254,0.03305
17984,0.052491,0.032848
18048,0.055124,0.033111
18112,0.053596,0.033083
18176,0.053901,0.032966
18240,0.052658,0.033193
18304,0.053307,0.035247
18368,0.055116,0.033179
18432,0.053341,0.033568
18496,0.053838,0.034083
18560,0.053978,0.034266
18624,0.054162,0.034206
18688,0.054547,0.034286
18752,0.054627,0.034284
18816,0.054972,0.034455
18880,0.055067,0.034737
18944,0.055258,0.034592
19008,0.055606,0.03476
19072,0.056481,0.037443
19136,0.060232,0.03464
19200,0.055313,0.035388
19264,0.055956,0.035058
19328,0.056423,0.035631
19392,0.057246,0.035506
19456,0.056777,0.035749
19520,0.05689,0.035814
19584,0.057045,0.035898
19648,0.05879,0.035995
19712,0.062303,0.035879
19776,0.057409,0.036135
19840,0.057817,0.036279
19904,0.058195,0.036416
19968,0.058221,0.036562
20032,0.058356,0.036953
20096,0.058939,0.036826
20160,0.058718,0.036857
20224,0.059027,0.03703
20288,0.060552,0.037271
20352,0.060727,0.03736
20416,0.06237,0.038028
20480,0.060253,0.037235
20544,0.061722,0.037313
20608,0.060488,0.039283
20672,0.059492,0.037791
20736,0.063348,0.037882
20800,0.065447,0.037679
20864,0.06055,0.037883
20928,0.060579,0.038485
20992,0.066398,0.03826
21056,0.060988,0.038389
21120,0.061623,0.038687
21184,0.062722,0.042369
21248,0.064066,0.039237
21312,0.062119,0.038912
21376,0.062137,0.038849
21440,0.06257,0.03932
21504,0.062557,0.039502
21568,0.062896,0.039353
21632,0.063186,0.039491
21696,0.065548,0.039786
21760,0.065227,0.040028
21824,0.063494,0.039765
21888,0.063903,0.040017
21952,0.065186,0.043133
22016,0.065373,0.039889
22080,0.064081,0.040207
22144,0.065159,0.042553
22208,0.065202,0.040474
22272,0.064707,0.040623
22336,0.066553,0.041015
22400,0.069668,0.040597
22464,0.065494,0.0409
22528,0.067301,0.041132
22592,0.066864,0.041212
22656,0.066775,0.041044
22720,0.065718,0.041437
22784,0.068073,0.041751
22848,0.067637,0.041408
22912,0.066542,0.042032
22976,0.067932,0.042188
23040,0.069445,0.041968
23104,0.069378,0.042266
23168,0.068189,0.042254
23232,0.067542,0.042303
23296,0.068051,0.042815
23360,0.073053,0.042761
23424,0.068256,0.04296
23488,0.06842,0.043168
23552,0.068794,0.043117
23616,0.071833,0.0457
23680,0.074235,0.042802
23744,0.068719,0.043369
23808,0.070145,0.047223
23872,0.074118,0.043184
23936,0.069523,0.044887
24000,0.069686,0.043695
24064,0.075674,0.046011
24128,0.071102,0.043788
24192,0.070098,0.044131
24256,0.071254,0.044621
24320,0.071592,0.044405
24384,0.070712,0.044848
24448,0.073483,0.044757
24512,0.076011,0.044615
24576,0.071328,0.045037
24640,0.071788,0.045243
24704,0.074125,0.045351
24768,0.07222,0.045379
24832,0.076968,0.045652
24896,0.073606,0.045551
24960,0.072921,0.045157
25024,0.07345,0.045556
25088,0.074722,0.045333
25152,0.075096,0.045646
25216,0.074582,0.045647
25280,0.073364,0.046309
25344,0.074582,0.046054
25408,0.073764,0.046511
25472,0.079103,0.046214
25536,0.074237,0.046809
25600,0.074499,0.047188
25664,0.074719,0.047429
25728,0.079908,0.046858
25792,0.07483,0.04722
25856,0.077517,0.047501
25920,0.075497,0.047431
25984,0.078259,0.048259
26048,0.08025,0.047417
26112,0.075812,0.047915
26176,0.077524,0.047928
26240,0.077851,0.047865
26304,0.078444,0.047886
26368,0.081534,0.047661
26432,0.078929,0.048016
26496,0.076088,0.050126
26560,0.076743,0.048561
26624,0.07855,0.048712
26688,0.077899,0.048901
26752,0.079982,0.049096
26816,0.079253,0.048851
26880,0.079914,0.049456
26944,0.079368,0.049077
27008,0.08005,0.049704
27072,0.079171,0.049358
27136,0.079737,0.049815
27200,0.081786,0.050364
27264,0.080761,0.049934
27328,0.081081,0.05033
27392,0.082685,0.0518
27456,0.080081,0.049732
27520,0.079777,0.050149
27584,0.080215,0.051085
27648,0.082185,0.05099
27712,0.081823,0.054465
27776,0.080924,0.050889
27840,0.083555,0.050978
27904,0.082177,0.05102
27968,0.081405,0.051334
28032,0.082835,0.051399
28096,0.082554,0.051684
28160,0.084353,0.051468
28224,0.085928,0.05216
28288,0.08253,0.051645
28352,0.084031,0.051618
28416,0.084378,0.052161
28480,0.087517,0.052308
28544,0.084903,0.052112
28608,0.084708,0.05196
28672,0.083115,0.052441
28736,0.086408,0.052673
28800,0.084115,0.052927
28864,0.086793,0.052965
28928,0.086659,0.053053
28992,0.08581,0.053148
29056,0.085885,0.053309
29120,0.08511,0.05348
29184,0.084968,0.053472
29248,0.085323,0.053653
29312,0.084955,0.053584
29376,0.087941,0.054006
29440,0.086935,0.054002
29504,0.086004,0.05437
29568,0.086222,0.054676
29632,0.086232,0.054637
29696,0.087502,0.055036
29760,0.086951,0.054397
29824,0.088039,0.054828
29888,0.091154,0.054359
29952,0.087887,0.054768
30016,0.088022,0.054345
30080,0.089905,0.054951
30144,0.088637,0.054799
30208,0.089753,0.055163
30272,0.088465,0.055438
30336,0.089764,0.055525
30400,0.090079,0.055096
30464,0.090689,0.0556
30528,0.090914,0.055595
30592,0.089924,0.055966
30656,0.089759,0.055695
30720,0.092635,0.057546
30784,0.08901,0.05584
30848,0.089656,0.056743
30912,0.090376,0.056642
30976,0.090387,0.056798
31040,0.092652,0.056826
31104,0.091398,0.056664
31168,0.09136,0.056834
31232,0.092208,0.057008
31296,0.09088,0.05756
31360,0.092339,0.057285
31424,0.091332,0.058126
31488,0.093028,0.057749
31552,0.099664,0.058395
31616,0.09669,0.057329
31680,0.094728,0.058291
31744,0.093973,0.057899
31808,0.096731,0.058021
31872,0.092908,0.057712
31936,0.092621,0.058469
32000,0.09317,0.058954
32064,0.093304,0.059153
32128,0.095229,0.059007
32192,0.097788,0.058493
32256,0.095876,0.059052
32320,0.094626,0.059008
32384,0.09596,0.059079
32448,0.09551,0.058637
32512,0.095835,0.059594
32576,0.095135,0.059056
32640,0.096831,0.059667
32704,0.095496,0.059885
32768,0.096182,0.060053
32832,0.09653,0.060007
32896,0.09638,0.060147
32960,0.097331,0.060721
33024,0.097326,0.061527
33088,0.096304,0.062246
33152,0.097662,0.060535
33216,0.096755,0.061148
33280,0.098862,0.061147
33344,0.099264,0.061338
33408,0.09784,0.060959
33472,0.097867,0.060108
33536,0.097298,0.061223
33600,0.101187,0.060642
33664,0.097206,0.061505
33728,0.098479,0.064016
33792,0.102434,0.061546
33856,0.098088,0.062097
33920,0.098467,0.062591
33984,0.100493,0.06263
34048,0.102089,0.06118
34112,0.103843,0.062343
34176,0.099779,0.062168
34240,0.099156,0.06251
34304,0.099852,0.062903
34368,0.100316,0.06338
34432,0.100502,0.063312
34496,0.102198,0.063505
34560,0.103967,0.0628
34624,0.104448,0.063391
34688,0.101989,0.063345
34752,0.105244,0.063233
34816,0.108339,0.064123
34880,0.105022,0.064071
34944,0.10521,0.063642
35008,0.104543,0.063589
35072,0.103577,0.064341
35136,0.103473,0.06585
35200,0.103674,0.064586
35264,0.103437,0.064772
35328,0.103905,0.064937
35392,0.105171,0.065042
35456,0.10666,0.064503
35520,0.104762,0.065133
35584,0.105586,0.06495
35648,0.108193,0.065096
35712,0.104006,0.065801
35776,0.104391,0.065647
35840,0.104174,0.065962
35904,0.104787,0.065395
35968,0.104669,0.065693
36032,0.109654,0.066084
36096,0.105353,0.066558
36160,0.108451,0.067261
36224,0.105745,0.066378
36288,0.105946,0.066848
36352,0.108323,0.067813
36416,0.106246,0.066045
36480,0.105963,0.066848
36544,0.10756,0.067143
36608,0.108115,0.067106
36672,0.109122,0.067294
36736,0.108842,0.067028
36800,0.109213,0.067695
36864,0.112097,0.067778
36928,0.107868,0.067304
36992,0.109571,0.067784
37056,0.109627,0.067901
37120,0.110821,0.068013
37184,0.107507,0.067828
37248,0.108182,0.069102
37312,0.109477,0.068409
37376,0.111083,0.07305
37440,0.10976,0.068303
37504,0.109219,0.069222
37568,0.109405,0.069376
37632,0.110037,0.069365
37696,0.111817,0.069349
37760,0.110987,0.069384
37824,0.114236,0.069229
37888,0.110744,0.069332
37952,0.113912,0.069183
38016,0.111916,0.069994
38080,0.113672,0.070454
38144,0.110007,0.069691
38208,0.111226,0.07056
38272,0.113012,0.070892
38336,0.113912,0.070702
38400,0.113733,0.070675
38464,0.111633,0.070518
38528,0.114788,0.069705
38592,0.120686,0.071117
38656,0.113873,0.07126
38720,0.113535,0.071016
38784,0.112702,0.071579
38848,0.113232,0.071204
38912,0.1134,0.071387
38976,0.115434,0.072106
39040,0.118725,0.072356
39104,0.114104,0.071674
39168,0.115446,0.072479
39232,0.114734,0.072138
39296,0.114631,0.072067
39360,0.114798,0.072326
39424,0.115547,0.072434
39488,0.115649,0.072614
39552,0.114832,0.072349
39616,0.115449,0.072936
39680,0.118112,0.072841
39744,0.115833,0.072295
39808,0.117976,0.073428
39872,0.117824,0.073162
39936,0.116821,0.07307
40000,0.118531,0.073973
40064,0.116566,0.073428
40128,0.11624,0.074146
40192,0.117119,0.074589
40256,0.117775,0.074291
40320,0.117791,0.075167
40384,0.11896,0.074273
40448,0.118353,0.074493
40512,0.118746,0.074363
40576,0.119879,0.074938
40640,0.11934,0.075063
40704,0.119884,0.077056
40768,0.119944,0.075512
40832,0.119915,0.082038
40896,0.122252,0.07542
40960,0.120165,0.07589
41024,0.119848,0.075264
41088,0.119925,0.075486
41152,0.121444,0.078851
41216,0.123458,0.075079
41280,0.122037,0.075683
41344,0.121309,0.076243
41408,0.121903,0.075912
41472,0.121918,0.081093
41536,0.125063,0.076501
41600,0.123275,0.076476
41664,0.124234,0.075882
41728,0.122518,0.076456
41792,0.121778,0.076912
41856,0.124734,0.076891
41920,0.123179,0.076762
41984,0.123754,0.077175
42048,0.12321,0.079213
42112,0.121992,0.07755
42176,0.12271,0.07748
42240,0.124945,0.078233
42304,0.122747,0.076222
42368,0.12542,0.078094
42432,0.124215,0.078394
42496,0.128574,0.078694
42560,0.125593,0.078057
42624,0.126767,0.07883
42688,0.129214,0.078861
42752,0.128364,0.077861
42816,0.125533,0.078539
42880,0.125343,0.078903
42944,0.127676,0.079317
43008,0.127379,0.07947
43072,0.127689,0.079152
43136,0.127475,0.078835
43200,0.1285,0.079485
43264,0.127764,0.079212
43328,0.126388,0.080139
43392,0.128729,0.081714
43456,0.126272,0.079721
43520,0.128521,0.080342
43584,0.127991,0.080041
43648,0.127466,0.081184
43712,0.130186,0.081176
43776,0.132041,0.08098
43840,0.128567,0.081685
43904,0.130277,0.080945
43968,0.127621,0.08054
44032,0.128233,0.081216
44096,0.128584,0.081878
44160,0.128825,0.081092
44224,0.130063,0.081906
44288,0.133161,0.08246
44352,0.130689,0.082017
44416,0.129978,0.082066
44480,0.129547,0.081337
44544,0.129429,0.082397
44608,0.129992,0.082228
44672,0.132366,0.082585
44736,0.134606,0.081728
44800,0.131928,0.082143
44864,0.130146,0.082062
44928,0.132827,0.082481
44992,0.132777,0.085202
45056,0.134622,0.081925
45120,0.133438,0.083182
45184,0.131536,0.082951
45248,0.133849,0.083699
45312,0.133622,0.083195
45376,0.13234,0.083837
45440,0.133932,0.084007
45504,0.134532,0.084002
45568,0.133801,0.084326
45632,0.134085,0.084026
45696,0.137656,0.086001
45760,0.133811,0.085318
45824,0.133344,0.084894
45888,0.133762,0.084779
45952,0.138098,0.085305
46016,0.134317,0.084956
46080,0.134346,0.085291
46144,0.134915,0.085509
46208,0.135704,0.084928
