n,naive(ms),2way(ms),unrolled(ms),unrolled_64(ms),unrolled_128(ms)
64,0.000184,0.000133,9.7e-05,9e-05,0.000238
128,0.000457,0.000308,0.000271,0.000213,0.000216
192,0.000712,0.000454,0.00035,0.000318,0.000441
256,0.000909,0.000597,0.000476,0.000416,0.000415
320,0.001146,0.000978,0.000788,0.000718,0.001142
384,0.001369,0.0012,0.000828,0.000682,0.000529
448,0.001266,0.000816,0.000645,0.00058,0.000675
512,0.001441,0.000925,0.000756,0.000651,0.000646
576,0.001617,0.001039,0.000821,0.000739,0.000831
640,0.001807,0.001186,0.000915,0.000816,0.000812
704,0.001988,0.001275,0.001008,0.00091,0.001
768,0.002191,0.001383,0.001096,0.000979,0.000974
832,0.002348,0.001537,0.001187,0.001061,0.001153
896,0.002529,0.001772,0.002569,0.00213,0.001895
960,0.003357,0.001993,0.001556,0.001417,0.001483
1024,0.003934,0.003603,0.002849,0.002127,0.001314
1088,0.00307,0.001951,0.00155,0.001385,0.001497
1152,0.003253,0.002062,0.001641,0.001481,0.001497
1216,0.003432,0.002177,0.001729,0.001546,0.001636
1280,0.003613,0.002304,0.001819,0.001626,0.001646
1344,0.004771,0.003063,0.002226,0.001991,0.002401
1408,0.004872,0.004664,0.003083,0.001782,0.001774
1472,0.004151,0.002656,0.002079,0.00186,0.001947
1536,0.004331,0.002733,0.002173,0.00196,0.001951
1600,0.004518,0.002856,0.002272,0.002032,0.002133
1664,0.005564,0.004853,0.004025,0.002722,0.002193
1728,0.006063,0.004708,0.003916,0.003432,0.002433
1792,0.005085,0.00322,0.002576,0.002277,0.002535
1856,0.005238,0.00338,0.002653,0.002373,0.002464
1920,0.005484,0.004179,0.003465,0.003375,0.004016
1984,0.007001,0.003746,0.002892,0.002598,0.002678
2048,0.005815,0.003766,0.002951,0.002644,0.002632
2112,0.006017,0.00387,0.00306,0.002757,0.002828
2176,0.006235,0.005861,0.00453,0.003064,0.003076
2240,0.007903,0.006291,0.003187,0.002909,0.002965
2304,0.006505,0.004183,0.003275,0.002962,0.002965
2368,0.006797,0.004403,0.003554,0.003213,0.003202
2432,0.008753,0.00591,0.0047,0.003892,0.003119
2496,0.008838,0.005416,0.003545,0.00317,0.003252
2560,0.007234,0.004678,0.003678,0.003325,0.003308
2624,0.009629,0.005343,0.003828,0.003499,0.003639
2688,0.007749,0.005183,0.003859,0.003511,0.003514
2752,0.007767,0.004998,0.003905,0.003494,0.003576
2816,0.009334,0.006433,0.004717,0.004245,0.003768
2880,0.008343,0.005313,0.004154,0.003797,0.003888
2944,0.012897,0.006663,0.004253,0.003815,0.005984
3008,0.008647,0.00555,0.004422,0.003984,0.004086
3072,0.008891,0.005587,0.004474,0.004087,0.0041
3136,0.009121,0.005716,0.004628,0.005879,0.005465
3200,0.00927,0.005893,0.004662,0.004255,0.004243
3264,0.009396,0.00596,0.00474,0.004367,0.00444
3328,0.011256,0.006129,0.004858,0.004454,0.004503
3392,0.009797,0.006245,0.004926,0.004545,0.004647
3456,0.012431,0.00631,0.005057,0.004682,0.004665
3520,0.010219,0.006626,0.005133,0.00471,0.004777
3584,0.012818,0.007021,0.005179,0.004699,0.004677
3648,0.012204,0.006751,0.005266,0.004856,0.004958
3712,0.010669,0.006767,0.005331,0.004962,0.005013
3776,0.012273,0.006993,0.00542,0.005036,0.005185
3840,0.013003,0.007218,0.005543,0.005117,0.005166
3904,0.013398,0.007066,0.005688,0.005228,0.005354
3968,0.012054,0.007571,0.005771,0.005308,0.005318
4032,0.01423,0.007378,0.005821,0.005512,0.005511
4096,0.01422,0.00744,0.005851,0.005325,0.00537
4160,0.016804,0.007524,0.005936,0.005502,0.005613
4224,0.012035,0.007741,0.006071,0.005536,0.00553
4288,0.014019,0.008413,0.011714,0.010364,0.006193
4352,0.013636,0.007969,0.006275,0.005668,0.005667
4416,0.015449,0.008081,0.006408,0.005981,0.006063
4480,0.014816,0.008015,0.006396,0.005928,0.005975
4544,0.01459,0.008437,0.006618,0.00602,0.006136
4608,0.018307,0.008334,0.006573,0.00607,0.006122
4672,0.016413,0.008598,0.006671,0.006225,0.006372
4736,0.015154,0.00873,0.006784,0.00637,0.006454
4800,0.016199,0.01051,0.006854,0.006397,0.006566
4864,0.019018,0.008847,0.006987,0.006421,0.006504
4928,0.014841,0.008685,0.006992,0.006501,0.006644
4992,0.015475,0.009188,0.007281,0.006632,0.006631
5056,0.01607,0.009089,0.007179,0.00652,0.006726
5120,0.019308,0.009423,0.007495,0.00683,0.006893
